Date,BTC-USD,ETH-USD,USDT-USD,BNB-USD,USDC-USD,XRP-USD,BUSD-USD,ADA-USD,DOGE-USD,MATIC-USD,Total Crypto Volume,FTSE 100 Volume
2022-08-03,26288169966,16786218830,47717439471,2133584480,7123782220,1105707649,5485365451,553477710,286819387,555479859,108036045023,947917500.0
2022-08-04,25120229769,14467440626,44526180493,1926587001,6265705595,916895439,5745937403,499753654,256457805,437387660,100162575445,858684300.0
2022-08-05,28881249043,18546491876,49723473321,1585061398,6033672422,986100302,5455954302,536832135,336216727,485360586,112570412112,609722300.0
2022-08-06,15978259885,11757911705,32961917502,1151509385,4013049170,498759511,3687174602,370884770,277979112,344583187,71042028829,
2022-08-07,15886817043,10252090340,29901528651,1012978419,3504912367,509151829,3175297520,495713645,204862521,253514512,65196866847,
2022-08-08,28575544847,16841424404,50243147547,1318773332,6960679226,1030742941,5526283556,782794306,399183407,435882666,112114456232,626255900.0
2022-08-09,23555719219,16368619692,46070684571,1139003043,6736005317,4098651206,5475918085,636681258,611327142,359259096,105051868629,648601100.0
2022-08-10,32837431722,23512477984,60085173824,1738218767,7908008277,1732723595,7626356466,816259967,431172729,472643830,137160467161,766193200.0
2022-08-11,37127036580,23826986482,64445391375,1511577808,8324806426,1088394568,7201370519,819277170,563908591,416497615,145325247134,630220500.0
2022-08-12,27265804688,17168141904,46783370955,980643843,6575377525,923071430,5193684859,538287825,320410367,300866061,106049659457,497719500.0
2022-08-13,22987346289,16038975216,41593883061,991712327,5445129024,590320028,5407307110,930190208,446287445,881678148,95312828856,
2022-08-14,22994133555,14062754456,43866838979,936178150,4448890165,754512693,5112255401,1180283864,1530403447,545099545,95431350255,
2022-08-15,35123501685,20349931313,57703388667,1141553086,7302904711,1046905199,6209795580,876107175,855017472,560505268,131169610156,460509300.0
2022-08-16,27753685646,15637578930,46945222159,963072351,6162980451,930440616,5601078041,734187541,1947377918,404175969,107079799622,514362800.0
2022-08-17,30931623076,20308508124,53355167557,1111784114,6429626031,1408497181,5804551198,1035477916,996272861,474243132,121855751190,505660900.0
2022-08-18,23747613147,14999352229,43149679443,1041814513,5259309739,927786270,4491889715,642877241,621394159,377740073,95259456529,606626300.0
2022-08-19,40509610260,25906358731,64302127382,1598319492,7104084896,1645536381,7543538943,1294433367,965543533,733235258,151602788243,726312000.0
2022-08-20,27595671000,18334580263,64302127382,1315367730,7104084896,848212364,4443917854,792647751,537299425,504568039,125778476704,
2022-08-21,23102307723,15849221752,45699064002,1249205607,5446317941,835616993,4140857537,616272980,421455865,398602156,97758922556,
2022-08-22,31666498758,18557078599,51710064329,1463703478,5446317941,1001511240,4859670365,722091304,453413439,393663565,116274013018,575411700.0
2022-08-23,31878280659,18322041914,52978066914,1034959891,5446317941,930696331,4782594109,562953519,335476543,381832173,116653219994,673045500.0
2022-08-24,31962253368,16780932907,48708536003,935405757,7342467396,957472562,4859837991,494717036,345474347,322771599,112709868966,579010600.0
2022-08-25,31028679593,14818795695,45854093190,973529233,7247298408,970585823,4230243446,525337287,469798193,287070102,106405430970,438562000.0
2022-08-26,42326789564,26713710143,62406193046,1210077085,9023777773,1653482688,10264830869,1299179883,620512451,598910538,156117464040,627296800.0
2022-08-27,30116729776,18120831899,43316381517,962669292,12367955268,920820399,5418792299,733099946,380887727,494847400,112833015523,
2022-08-28,24366810591,12823572918,34337927087,758285305,6479740107,596573621,3901333042,519341943,295086067,416300398,84494971079,
2022-08-29,32637854078,17965837488,45837060552,1009161525,8146241733,980137287,5680701100,587946527,315005254,471278672,113631224216,
2022-08-30,34483360283,21835784470,50170084207,979620743,6564730413,948448428,7193385316,640051711,328934727,444772792,123589173090,1120430700.0
2022-08-31,33225232872,20591680941,48405934722,952486877,5586800452,882676752,7506760903,521553602,309748693,424995293,118407871107,1154010300.0
2022-09-01,30182031010,16434276817,44702355872,954919263,5070758690,875126154,7713153850,582859437,328765413,576674842,107420921348,746248100.0
2022-09-02,29123998928,17708478709,44468235183,807053745,4800544392,899373528,6970190867,525812957,273453013,503166473,106080307795,820948300.0
2022-09-03,23613051457,9516825994,30873646175,490102253,5057166378,473116925,4080792726,778592386,297123402,287161411,75467579107,
2022-09-04,25245861652,8884144998,31495577330,512014471,6332291606,431905800,4345105641,907968827,250044436,264242142,78669156903,
2022-09-05,28813460025,13060541168,39598045837,665273781,6182567826,761048973,6960859086,646475147,231918999,290591111,97210781953,670793100.0
2022-09-06,43403978910,22946059125,64015343588,1173656468,7323352432,1337360825,10063711703,982012136,471485708,601374311,152318335206,836364000.0
2022-09-07,35239757134,19560363854,52755357561,963734560,5925798240,1128804315,9439836894,693147052,324781387,416321463,126447902460,1176357500.0
2022-09-08,32194477850,17621046717,49640976411,870477242,5599051311,1065222913,9877119980,647768733,268099702,358768227,118143009086,676276000.0
2022-09-09,48469528171,20242323690,70683518131,1139680146,7486756055,1487790472,14598870317,858927416,487988732,441662237,165897045367,703941600.0
2022-09-10,36913738894,13130928217,53524443076,851195253,6034410916,851397394,9634577353,995666468,413101249,384193062,122733651882,
